ISIC_CODE,LEVEL_CODE,LEVEL_NO,PARENT_ISIC_CODE,NAME_FA,NAME_EN,TRANSLATION_STATUS_CODE,IS_SELECTABLE,SORT_ORDER
A,SECTION,1,,کشاورزی، جنگلداری و ماهیگیری,"Agriculture, forestry and fishing",BANK_TRANSLATED,0,10
01,DIVISION,2,A,تولید محصولات زراعی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"Crop and animal production, hunting and related service activities",BANK_TRANSLATED,0,20
011,GROUP,3,01,کشت محصولات غیردائمی,Growing of non-perennial crops,BANK_TRANSLATED,0,30
0111,CLASS,4,011,کشت غلات (به‌جز برنج)، حبوبات و دانه‌های روغنی,"Growing of cereals (except rice), leguminous crops and oil seeds",BANK_TRANSLATED,1,40
0112,CLASS,4,011,کشت برنج,Growing of rice,BANK_TRANSLATED,1,50
0113,CLASS,4,011,کشت سبزیجات و صیفی‌جات، ریشه‌ها و غده‌ها,"Growing of vegetables and melons, roots and tubers",BANK_TRANSLATED,1,60
0114,CLASS,4,011,کشت نیشکر,Growing of sugar cane,BANK_TRANSLATED,1,70
0115,CLASS,4,011,کشت توتون و تنباکو,Growing of tobacco,BANK_TRANSLATED,1,80
0116,CLASS,4,011,کشت محصولات الیافی,Growing of fibre crops,BANK_TRANSLATED,1,90
0119,CLASS,4,011,کشت سایر محصولات غیردائمی,Growing of other non-perennial crops,BANK_TRANSLATED,1,100
012,GROUP,3,01,کشت محصولات دائمی,Growing of perennial crops,BANK_TRANSLATED,0,110
0121,CLASS,4,012,کشت انگور,Growing of grapes,BANK_TRANSLATED,1,120
0122,CLASS,4,012,کشت میوه‌های گرمسیری و نیمه‌گرمسیری,Growing of tropical and subtropical fruits,BANK_TRANSLATED,1,130
0123,CLASS,4,012,کشت مرکبات,Growing of citrus fruits,BANK_TRANSLATED,1,140
0124,CLASS,4,012,کشت میوه‌های دانه‌دار و هسته‌دار,Growing of pome fruits and stone fruits,BANK_TRANSLATED,1,150
0125,CLASS,4,012,کشت سایر میوه‌های درختی و بوته‌ای و خشکبار,Growing of other tree and bush fruits and nuts,BANK_TRANSLATED,1,160
0126,CLASS,4,012,کشت میوه‌های روغنی,Growing of oleaginous fruits,BANK_TRANSLATED,1,170
0127,CLASS,4,012,کشت محصولات نوشیدنی,Growing of beverage crops,BANK_TRANSLATED,1,180
0128,CLASS,4,012,کشت ادویه‌ها، گیاهان معطر، دارویی و داروسازی,"Growing of spices, aromatic, drug and pharmaceutical crops",BANK_TRANSLATED,1,190
0129,CLASS,4,012,کشت سایر محصولات دائمی,Growing of other perennial crops,BANK_TRANSLATED,1,200
013,GROUP,3,01,تکثیر گیاهان,Plant propagation,BANK_TRANSLATED,0,210
0130,CLASS,4,013,تکثیر گیاهان,Plant propagation,BANK_TRANSLATED,1,220
014,GROUP,3,01,تولیدات دامی,Animal production,BANK_TRANSLATED,0,230
0141,CLASS,4,014,پرورش گاو و گاومیش,Raising of cattle and buffaloes,BANK_TRANSLATED,1,240
